является фонетико-семантическим компонентом,фонетик,汉字,部件1,部件2,部件3,部件4,部件5,部件6,部件7,部件8,部件9
Да,至,室,宀,至,,,,,,,
Да,宫,宫,宀,口,口,,,,,,
Нет,,宪,宀,丿,土,儿,,,,,
Нет,,突,穴,犬,,,,,,,
Нет,,穿,穴,牙,,,,,,,
Да,禼,窃,穴,七,刀,,,,,,
Да,各,客,宀,夂,口,,,,,,
Нет,,冠,冖,二,儿,寸,,,,,
Да,吾,语,讠,五,口,,,,,,
Нет,,扁,户,𠕁,,,,,,,
Нет,,袄,衤,夭,,,,,,,
Нет,,祖,礻,且,,,,,,,
Да,申,神,礻,申,,,,,,,
Нет,,祝,礻,口,儿,,,,,,
Да,吴,误,讠,口,天,,,,,,
Нет,,诱,讠,禾,乃,,,,,,
Нет,,说,讠,丷,口,儿,,,,,
Да,甬,诵,讠,龴,用,,,,,,
Нет,,垦,艮,土,,,,,,,
Да,退,退,辶,艮,,,,,,,
Нет,,既,{⿸𢀳丶},旡,,,,,,,
Нет,,屋,尸,至,,,,,,,
Нет,,昼,尺,日,一,,,,,,
Нет,,费,弗,贝,,,,,,,
Да,斗,陡,阝,十,乛,卜,人,,,,
Нет,,眉,尸,丶,目,,,,,,
Нет,,孩,子,亥,,,,,,,
Да,余,除,阝,人,于,八,,,,,
Да,佥,险,阝,人,一,小,一,,,,
Нет,,院,阝,宀,二,儿,,,,,
Нет,,娃,女,土,土,,,,,,
Нет,,姥,女,老,,,,,,,
Нет,,姨,女,夷,,,,,,,
Нет,,姻,女,囗,大,,,,,,
Нет,,娇,女,夭,丿,丨,,,,,
Да,奴,怒,女,又,心,,,,,,
Нет,,架,力,口,木,,,,,,
Нет,,贺,力,口,贝,,,,,,
Нет,,盈,乃,又,皿,,,,,,
Да,甬,勇,龴,用,力,,,,,,
Нет,,怠,厶,口,心,,,,,,
Нет,,柔,矛,木,,,,,,,
Нет,,垒,厶,厶,厶,土,,,,,
Нет,,绑,纟,丰,阝,,,,,,
Нет,,绒,纟,十,戈,,,,,,
Да,吉,结,纟,士,口,,,,,,
Нет,,绕,纟,𭠍,兀,,,,,,
Нет,,骄,马,夭,丿,丨,,,,,
Нет,,绘,纟,人,云,,,,,,
Да,合,给,纟,人,一,口,,,,,
Да,各,络,纟,夂,口,,,,,,
Да,各,骆,马,夂,口,,,,,,
Нет,,绝,纟,色,,,,,,,
Да,交,绞,纟,亠,父,,,,,,
Да,充,统,纟,亠,厶,儿,,,,,
Да,耕,耕,耒,井,,,,,,,
Нет,,耗,耒,毛,,,,,,,
Нет,,艳,丰,色,,,,,,,
Да,大,泰,龹,水,,,,,,,
Да,朱,珠,王,朱,,,,,,,
Нет,,班,王,刂,王,,,,,,
Нет,,素,丰,糸,,,,,,,
Да,天,蚕,天,虫,,,,,,,
Нет,,顽,二,儿,页,,,,,,
Нет,,盏,戋,皿,,,,,,,
Нет,,匪,匚,非,,,,,,,
Да,劳,捞,扌,艹,冖,力,,,,,
Нет,,栽,十,戈,木,,,,,,
Нет,,捕,扌,甫,,,,,,,
Нет,,振,扌,辰,,,,,,,
Нет,,载,十,戈,车,,,,,,
Да,干,赶,十,乛,卜,人,干,,,,
Да,己,起,十,乛,卜,人,己,,,,
Да,监,盐,土,卜,皿,,,,,,
Да,肖,捎,扌,小,月,,,,,,
Да,日,捏,扌,日,土,,,,,,
Да,里,埋,土,里,,,,,,,
Да,足,捉,扌,口,卜,人,,,,,
Нет,,捆,扌,囗,木,,,,,,
Нет,,捐,扌,口,月,,,,,,
Да,员,损,扌,口,贝,,,,,,
Да,者,都,耂,日,阝,,,,,,
Нет,,哲,扌,斤,口,,,,,,
Нет,,逝,辶,扌,斤,,,,,,
Да,佥,捡,扌,人,一,小,一,,,,
Нет,,换,扌,奂,,,,,,,
Нет,,挽,扌,免,,,,,,,
Да,埶,热,扌,丸,火,,,,,,
Да,巩,恐,工,凡,心,,,,,,
Нет,,壶,士,冖,业,,,,,,
Нет,,挨,扌,厶,矢,,,,,,
Да,耳,耻,耳,止,,,,,,,
Нет,,耽,耳,冘,,,,,,,
Да,共,恭,井,八,心,,,,,,
Да,连,莲,艹,辶,车,,,,,,
Нет,,莫,艹,日,大,,,,,,
Нет,,荷,艹,人,丁,口,,,,,
Нет,,获,艹,犭,犬,,,,,,
Нет,,晋,亚,日,,,,,,,
Нет,,恶,亚,心,,,,,,,
Нет,,真,直,八,,,,,,,
Да,匡,框,木,匚,王,,,,,,
Нет,,桂,木,土,土,,,,,,
Нет,,档,木,小,彐,,,,,,
Да,同,桐,木,冂,一,口,,,,,
Да,朱,株,木,朱,,,,,,,
Нет,,桥,木,夭,丿,丨,,,,,
Нет,,桃,木,兆,,,,,,,
Да,各,格,木,夂,口,,,,,,
Да,交,校,木,亠,父,,,,,,
Нет,,核,木,亥,,,,,,,
Нет,,样,木,羊,,,,,,,
Нет,,根,木,艮,,,,,,,
Нет,,索,十,冖,糸,,,,,,
Нет,,哥,丁,口,丁,口,,,,,
Нет,,速,辶,束,,,,,,,
Нет,,逗,辶,豆,,,,,,,
Нет,,栗,西,木,,,,,,,
Да,妃,配,酉,己,,,,,,,
Нет,,翅,十,又,习,习,,,,,
Нет,,辱,辰,寸,,,,,,,
Нет,,唇,口,辰,,,,,,,
Нет,,夏,一,自,夕,,,,,,
Нет,,础,石,出,,,,,,,
Нет,,破,石,皮,,,,,,,
Нет,,原,厂,白,小,,,,,,
Нет,,套,大,镸,,,,,,,
Нет,,逐,辶,豕,,,,,,,
Да,列,烈,歹,刀,火,,,,,,
Да,朱,殊,歹,朱,,,,,,,
Да,户,顾,厂,卩,页,,,,,,
Нет,,轿,车,夭,丿,丨,,,,,
Да,交,较,车,亠,父,,,,,,
Нет,,顿,屯,页,,,,,,,
Нет,,毙,匕,匕,歹,匕,,,,,
Да,至,致,至,攴,,,,,,,
Нет,,柴,止,匕,木,,,,,,
Нет,,桌,木,卜,日,,,,,,
Нет,,虑,虍,心,,,,,,,
Нет,,监,丨,丨,丿,一,丶,皿,,,
Да,臣,紧,丨,丨,又,糸,,,,,
Нет,,党,小,冂,口,儿,,,,,
Нет,,晒,日,西,,,,,,,
Нет,,眠,目,民,,,,,,,
Нет,,晓,日,𭠍,兀,,,,,,
Нет,,鸭,甲,鸟,,,,,,,
Да,光,晃,日,小,兀,,,,,,
Нет,,晌,日,向,,,,,,,
Нет,,晕,日,冖,车,,,,,,
Да,文,蚊,虫,文,,,,,,,
Да,肖,哨,口,小,月,,,,,,
Нет,,哭,口,口,犬,,,,,,
Нет,,恩,囗,大,心,,,,,,
Нет,,唤,口,奂,,,,,,,
Нет,,啊,口,阝,丁,口,,,,,
Нет,,唉,口,厶,矢,,,,,,
Нет,,罢,罒,去,,,,,,,
Нет,,峰,山,夂,丰,,,,,,
Да,员,圆,囗,口,贝,,,,,,
Нет,,贼,贝,十,戈,,,,,,
Да,有,贿,贝,一,丿,月,,,,,
Нет,,钱,钅,戋,,,,,,,
Нет,,钳,钅,甘,,,,,,,
Нет,,钻,钅,卜,口,,,,,,
Нет,,铁,钅,失,,,,,,,
Нет,,铃,钅,人,一,卩,,,,,
Нет,,铅,钅,几,口,,,,,,
Нет,,缺,缶,夬,,,,,,,
Нет,,氧,气,羊,,,,,,,
Да,寺,特,牛,土,寸,,,,,,
Да,我,牺,牛,西,,,,,,,
Да,艸,造,辶,牛,口,,,,,,
Нет,,乘,禾,{⿰二丨},匕,,,,,,
Нет,,敌,舌,攴,,,,,,,
Нет,,秤,禾,平,,,,,,,
Нет,,租,禾,且,,,,,,,
Да,只,积,禾,口,八,,,,,,
Нет,,秧,禾,央,,,,,,,
Да,失,秩,禾,失,,,,,,,
Нет,,称,禾,刀,小,,,,,,
Нет,,秘,禾,必,,,,,,,
Нет,,透,辶,禾,乃,,,,,,
Нет,,笔,竹,毛,,,,,,,
Нет,,笑,竹,夭,,,,,,,
Да,尹,笋,竹,尹,,,,,,,
Нет,,债,人,丰,贝,,,,,,
Нет,,借,人,井,日,,,,,,
Да,直,值,人,直,,,,,,,
Нет,,倚,人,大,丁,口,,,,,
Да,顷,倾,人,匕,页,,,,,,
Нет,,倒,人,至,刀,,,,,,
Нет,,倘,人,小,冂,口,,,,,
Да,具,俱,人,具,,,,,,,
Нет,,倡,人,日,曰,,,,,,
Нет,,候,人,丨,乛,一,矢,,,,
Нет,,俯,人,广,人,寸,,,,,
Нет,,倍,人,立,口,,,,,,
Нет,,倦,人,夫,八,卩,,,,,
Нет,,健,人,廴,聿,,,,,,
Нет,,臭,自,犬,,,,,,,
Нет,,射,身,寸,,,,,,,
Да,弓,躬,身,弓,,,,,,,
Нет,,息,自,心,,,,,,,
Да,土,徒,彳,十,乛,卜,人,,,,
Да,余,徐,彳,人,于,八,,,,,
Да,监,舰,舟,见,,,,,,,
Нет,,舱,舟,人,卩,,,,,,
Нет,,般,舟,殳,,,,,,,
Нет,,航,舟,亠,几,,,,,,
Да,余,途,辶,人,于,八,,,,,
Нет,,拿,人,一,口,手,,,,,
Нет,,爹,父,夕,夕,,,,,,
Нет,,爱,爪,冖,一,丿,又,,,,
Нет,,颂,八,厶,页,,,,,,
Нет,,翁,八,厶,习,习,,,,,
Да,绝,脆,月,刀,厂,卩,,,,,
Нет,,脂,月,匕,日,,,,,,
Да,匈,胸,月,勹,凵,乂,,,,,
Да,各,胳,月,夂,口,,,,,,
Да,爿,脏,月,广,土,,,,,,
Да,交,胶,月,亠,父,,,,,,
Нет,,脑,月,亠,乂,凵,,,,,
Да,里,狸,犭,里,,,,,,,
Да,良,狼,犭,丶,艮,,,,,,
Нет,,逢,辶,夂,丰,,,,,,
Нет,,留,卯,田,,,,,,,
Нет,,皱,刀,彐,皮,,,,,,
Да,我,饿,饣,我,,,,,,,
Нет,,恋,亦,心,,,,,,,
Да,将,桨,丬,夕,木,,,,,,
Да,将,浆,丬,夕,水,,,,,,
Нет,,衰,衣,{⿻口一},,,,,,,
Нет,,高,亠,口,冂,口,,,,,
Да,石,席,广,廿,巾,,,,,,
Нет,,准,冫,隹,,,,,,,
Нет,,座,广,人,人,土,,,,,
Нет,,脊,月,人,二,二,,,,,
Да,正,症,疒,正,,,,,,,
Нет,,病,疒,丙,,,,,,,
Нет,,疾,疒,矢,,,,,,,
Да,冬,疼,疒,夂,冫,,,,,,
Нет,,疲,疒,皮,,,,,,,
Да,交,效,亠,父,攴,,,,,,
Нет,,离,亠,凵,乂,禸,,,,,
Да,庚,唐,广,肀,口,,,,,,
Нет,,资,冫,欠,贝,,,,,,
Да,京,凉,冫,京,,,,,,,
Нет,,站,立,卜,口,,,,,,
Нет,,剖,立,口,刀,,,,,,
Нет,,竞,立,口,儿,,,,,,
Нет,,部,立,口,阝,,,,,,
Нет,,旁,亠,丷,冖,方,,,,,
Нет,,旅,方,丿,一,氏,,,,,
Нет,,畜,亠,幺,田,,,,,,
Нет,,阅,门,丷,口,儿,,,,,
Нет,,羞,羊,丑,,,,,,,
Нет,,瓶,丷,开,瓦,,,,,,
Нет,,拳,丷,夫,手,,,,,,
Нет,,粉,米,八,刀,,,,,,
Нет,,料,米,斗,,,,,,,
Нет,,益,丷,一,八,皿,,,,,
Нет,,兼,丷,一,彐,丨,丨,八,,,
Нет,,烤,火,耂,丂,,,,,,
Да,共,烘,火,井,八,,,,,,
Нет,,烦,火,页,,,,,,,
Нет,,烧,火,𭠍,兀,,,,,,
Нет,,烛,火,虫,,,,,,,
Нет,,烟,火,囗,大,,,,,,
Нет,,递,辶,弟,,,,,,,
Нет,,涛,氵,丰,寸,,,,,,
Нет,,浙,氵,扌,斤,,,,,,
Да,劳,涝,氵,艹,冖,力,,,,,
Нет,,酒,氵,酉,,,,,,,
Нет,,涉,氵,止,小,,,,,,
Да,肖,消,氵,小,月,,,,,,
Нет,,浩,氵,牛,口,,,,,,
Нет,,海,氵,𠂉,母,,,,,,
Да,余,涂,氵,人,于,八,,,,,
Нет,,浴,氵,谷,,,,,,,
Да,孚,浮,氵,爪,子,,,,,,
Нет,,流,氵,亠,厶,川,,,,,
Да,闰,润,氵,门,王,,,,,,
Да,良,浪,氵,丶,艮,,,,,,
Нет,,浸,氵,彐,冖,又,,,,,
Да,长,涨,氵,弓,长,,,,,,
Нет,,烫,氵,𠃓,火,,,,,,
Да,甬,涌,氵,龴,用,,,,,,
Да,吾,悟,忄,五,口,,,,,,
Да,肖,悄,忄,小,月,,,,,,
Нет,,悔,忄,𠂉,母,,,,,,
Нет,,悦,忄,丷,口,儿,,,,,
Нет,,害,宀,丰,口,,,,,,
Нет,,宽,宀,艹,见,,,,,,
Нет,,家,宀,豕,,,,,,,
Да,肖,宵,宀,小,月,,,,,,
Нет,,宴,宀,日,女,,,,,,
Нет,,宾,宀,丘,八,,,,,,
Нет,,窄,穴,乍,,,,,,,
Нет,,容,宀,谷,,,,,,,
Нет,,宰,宀,辛,,,,,,,
Нет,,案,宀,女,木,,,,,,
Да,青,请,讠,丰,月,,,,,,
Да,良,朗,丶,{⿸𢀳丶},月,,,,,,
Да,者,诸,讠,耂,日,,,,,,
Да,𧶠,读,讠,十,乛,头,,,,,
Нет,,扇,户,习,习,,,,,,
Нет,,袜,衤,末,,,,,,,
Да,由,袖,衤,由,,,,,,,
Да,包,袍,衤,勹,己,,,,,,
Нет,,被,衤,皮,,,,,,,
Нет,,祥,礻,羊,,,,,,,
Нет,,课,讠,果,,,,,,,
Нет,,谁,讠,隹,,,,,,,
Да,周,调,讠,冂,土,口,,,,,
Нет,,冤,冖,免,丶,,,,,,
Да,京,谅,讠,京,,,,,,,
Нет,,谈,讠,火,火,,,,,,
Да,宜,谊,讠,宀,且,,,,,,
Нет,,剥,彐,氺,刀,,,,,,
Нет,,恳,艮,心,,,,,,,
Нет,,展,尸,龷,𰀠,,,,,,
Нет,,剧,尸,十,口,刀,,,,,
Нет,,屑,尸,小,月,,,,,,
Нет,,弱,弓,冫,弓,冫,,,,,
Нет,,陵,阝,土,八,夂,,,,,
Да,匋,陶,阝,勹,缶,,,,,,
Нет,,陷,阝,刀,臼,,,,,,
Нет,,陪,阝,立,口,,,,,,
Да,吴,娱,女,口,天,,,,,,
Да,良,娘,女,丶,艮,,,,,,
Да,甬,通,辶,龴,用,,,,,,
Нет,,能,厶,月,匕,匕,,,,,
Да,𦰩,难,又,隹,,,,,,,
Да,予,预,予,页,,,,,,,
Нет,,桑,木,又,又,又,,,,,
Нет,,绢,纟,口,月,,,,,,
Нет,,绣,纟,禾,乃,,,,,,
Да,佥,验,马,人,一,小,一,,,,
Нет,,继,纟,𠃊,米,,,,,,
Да,求,球,王,求,,,,,,,
Да,里,理,王,里,,,,,,,
Нет,,捧,扌,𡗗,𰀁,,,,,,
Да,者,堵,土,耂,日,,,,,,
Нет,,描,扌,艹,田,,,,,,
Нет,,域,土,口,一,戈,,,,,
Нет,,掩,扌,大,电,,,,,,
Нет,,捷,扌,疌,,,,,,,
Нет,,排,扌,非,,,,,,,
Нет,,掉,扌,卜,日,十,,,,,
Нет,,堆,土,隹,,,,,,,
Нет,,推,扌,隹,,,,,,,
Нет,,掀,扌,斤,欠,,,,,,
Да,受,授,扌,爪,冖,又,,,,,
Нет,,教,耂,子,攴,,,,,,
Да,匋,掏,扌,勹,缶,,,,,,
Да,京,掠,扌,京,,,,,,,
Нет,,培,土,立,口,,,,,,
Нет,,接,扌,立,女,,,,,,
Да,空,控,扌,穴,工,,,,,,
Нет,,探,扌,冖,八,木,,,,,
Да,居,据,扌,尸,十,口,,,,,
Да,屈,掘,扌,尸,出,,,,,,
Нет,,职,耳,口,八,,,,,,
Нет,,基,其,土,,,,,,,
Да,者,著,艹,耂,日,,,,,,
Да,力,勒,革,力,,,,,,,
Нет,,黄,艹,一,田,八,,,,,
Нет,,萌,艹,日,月,,,,,,
Нет,,萝,艹,罒,夕,,,,,,
Нет,,菌,艹,囗,禾,,,,,,
Нет,,菜,艹,爪,木,,,,,,
Да,匋,萄,艹,勹,缶,,,,,,
Нет,,菊,艹,勹,米,,,,,,
Нет,,萍,艹,氵,平,,,,,,
Нет,,菠,艹,氵,皮,,,,,,
Да,熒,营,艹,冖,口,口,,,,,
Да,戒,械,木,廾,戈,,,,,,
Нет,,梦,木,木,夕,,,,,,
Да,肖,梢,木,小,月,,,,,,
Нет,,梅,木,𠂉,母,,,,,,
Да,佥,检,木,人,一,小,一,,,,
Нет,,梳,木,亠,厶,川,,,,,
Нет,,梯,木,弟,,,,,,,
Да,甬,桶,木,龴,用,,,,,,
Да,求,救,求,攴,,,,,,,
Нет,,副,一,口,田,刀,,,,,
Нет,,票,西,示,,,,,,,
Нет,,戚,丿,上,小,戈,,,,,
Нет,,爽,大,乂,乂,乂,乂,,,,
Нет,,聋,龙,耳,,,,,,,
Нет,,袭,龙,衣,,,,,,,
Да,成,盛,戊,𠃌,皿,,,,,,
Нет,,雪,雨,彐,,,,,,,
Нет,,辅,车,甫,,,,,,,
Нет,,辆,车,两,,,,,,,
Нет,,虚,虍,业,,,,,,,
Да,小,雀,小,隹,,,,,,,
Нет,,堂,小,冂,口,土,,,,,
Нет,,常,小,冂,口,巾,,,,,
Нет,,匙,日,乛,卜,人,匕,,,,
Нет,,晨,日,辰,,,,,,,
Да,争,睁,目,争,,,,,,,
Да,米,眯,目,米,,,,,,,
Нет,,眼,目,艮,,,,,,,
Нет,,悬,且,厶,心,,,,,,
Да,予,野,里,予,,,,,,,
Нет,,啦,口,扌,立,,,,,,
Нет,,晚,日,免,,,,,,,
Нет,,啄,口,豖,,,,,,,
Да,巨,距,口,卜,人,巨,,,,,
Да,夭,跃,口,卜,人,夭,,,,,
Да,各,略,田,夂,口,,,,,,
Нет,,蛇,虫,宀,匕,,,,,,
Нет,,累,田,糸,,,,,,,
Нет,,唱,口,日,曰,,,,,,
Да,串,患,串,心,,,,,,,
Нет,,唯,口,隹,,,,,,,
Нет,,崖,山,厂,土,土,,,,,
Нет,,崭,山,车,斤,,,,,,
Нет,,崇,山,宀,示,,,,,,
Нет,,圈,囗,夫,八,卩,,,,,
Да,同,铜,钅,冂,一,口,,,,,
Нет,,铲,钅,产,,,,,,,
Нет,,银,钅,艮,,,,,,,
Да,甜,甜,舌,甘,,,,,,,
Нет,,梨,禾,刀,木,,,,,,
Нет,,犁,禾,刀,牛,,,,,,
Нет,,移,禾,夕,夕,,,,,,
Да,本,笨,竹,本,,,,,,,
Нет,,笼,竹,龙,,,,,,,
Да,由,笛,竹,由,,,,,,,
Нет,,符,竹,人,寸,,,,,,
Нет,,第,竹,弓,丨,丿,,,,,
Нет,,敏,𠂉,母,攴,,,,,,
Нет,,做,人,十,口,攴,,,,,
Нет,,袋,人,弋,衣,,,,,,
Нет,,悠,人,丨,攴,心,,,,,
Нет,,偿,人,小,冖,云,,,,,
Нет,,偶,人,禺,,,,,,,
Нет,,偷,人,人,一,月,刀,,,,
Нет,,您,人,刀,小,心,,,,,
Да,雔,售,隹,口,,,,,,,
Да,亭,停,人,亠,口,冖,丁,,,,
Нет,,偏,人,户,𠕁,,,,,,
Нет,,假,人,叚,,,,,,,
Да,㝵,得,彳,日,一,寸,,,,,
Да,金,衔,彳,一,丁,钅,,,,,
Нет,,盘,舟,皿,,,,,,,
Нет,,船,舟,八,口,,,,,,
Да,余,斜,人,于,八,斗,,,,,
Да,合,盒,人,一,口,皿,,,,,
Да,合,鸽,人,一,口,鸟,,,,,
Нет,,悉,釆,心,,,,,,,
Нет,,欲,谷,欠,,,,,,,
Нет,,彩,爪,木,彡,,,,,,
Нет,,领,人,一,卩,页,,,,,
Нет,,脚,月,去,卩,,,,,,
Нет,,脖,月,十,冖,子,,,,,
Да,佥,脸,月,人,一,小,一,,,,
Нет,,脱,月,丷,口,儿,,,,,
Нет,,象,象,,,,,,,,
Да,句,够,勹,口,夕,夕,,,,,
Нет,,猜,犭,丰,月,,,,,,
Да,者,猪,犭,耂,日,,,,,,
Да,巤,猎,犭,井,日,,,,,,
Нет,,猫,犭,艹,田,,,,,,
Нет,,猛,犭,子,皿,,,,,,
Нет,,馅,饣,刀,臼,,,,,,
Нет,,馆,饣,宀,㠯,,,,,,
Нет,,凑,冫,𡗗,天,,,,,,
Нет,,减,冫,戊,一,口,,,,,
Нет,,毫,亠,口,冂,毛,,,,,
Нет,,麻,广,木,木,,,,,,
Нет,,痒,疒,羊,,,,,,,
Нет,,痕,疒,艮,,,,,,,
Да,郎,廊,广,丶,{⿸𢀳丶},阝,,,,,
Да,庚,康,广,隶,,,,,,,
Да,用,庸,广,肀,冂,二,,,,,
Нет,,鹿,广,乛,一,丨,丨,匕,匕,,
Нет,,盗,冫,欠,皿,,,,,,
Нет,,章,立,日,十,,,,,,
Нет,,竟,立,日,儿,,,,,,
Нет,,商,亠,丷,冂,儿,口,,,,
Нет,,族,方,丿,一,矢,,,,,
Нет,,旋,方,丿,一,乛,卜,人,,,
Да,亡,望,亡,月,王,,,,,,
Нет,,率,亠,幺,冫,丶,丶,十,,,
Да,者,着,羊,目,,,,,,,
Нет,,盖,𦍌,皿,,,,,,,
Нет,,粘,米,卜,口,,,,,,
Нет,,粗,米,且,,,,,,,
Да,立,粒,米,立,,,,,,,
Нет,,断,𠃊,米,斤,,,,,,
Нет,,剪,丷,一,月,刂,刀,,,,
Нет,,兽,丷,田,一,口,,,,,
Да,青,清,氵,丰,月,,,,,,
Да,忝,添,氵,天,心,,,,,,
Да,林,淋,氵,木,木,,,,,,
Нет,,淹,氵,大,电,,,,,,
Да,矩,渠,氵,巨,木,,,,,,
Нет,,渐,氵,车,斤,,,,,,
Да,昆,混,氵,日,匕,匕,,,,,
Да,鱼,渔,氵,鱼,,,,,,,
Нет,,淘,氵,勹,缶,,,,,,
Да,夜,液,氵,亠,人,夕,丶,,,,
Нет,,淡,氵,火,火,,,,,,
Нет,,深,氵,冖,八,木,,,,,
Нет,,婆,氵,皮,女,,,,,,
Да,刅,梁,氵,刀,八,木,,,,,
Нет,,渗,氵,厶,大,彡,,,,,
Да,青,情,忄,丰,月,,,,,,
Нет,,惜,忄,井,日,,,,,,
Нет,,惭,忄,车,斤,,,,,,
Нет,,悼,忄,卜,日,十,,,,,
Да,具,惧,忄,具,,,,,,,
Нет,,惕,忄,日,勿,,,,,,
Да,敬,惊,忄,京,,,,,,,
Нет,,惨,忄,厶,大,彡,,,,,
Да,贯,惯,忄,毌,贝,,,,,,
Нет,,寇,宀,二,儿,攴,,,,,
Нет,,寄,宀,大,丁,口,,,,,
Нет,,宿,宀,人,百,,,,,,
Нет,,窑,穴,缶,,,,,,,
Нет,,密,宀,必,山,,,,,,
Нет,,谋,讠,甘,木,,,,,,
Нет,,谎,讠,艹,亡,川,,,,,
Нет,,祸,礻,口,内,,,,,,
Да,迷,谜,讠,辶,米,,,,,,
Нет,,逮,辶,隶,,,,,,,
Нет,,敢,𠃍,耳,攵,,,,,,
Да,者,屠,尸,耂,日,,,,,,
Нет,,弹,弓,单,,,,,,,
Нет,,随,阝,辶,一,丿,月,,,,
Нет,,蛋,乛,卜,人,虫,,,,,
Нет,,隆,阝,夂,一,生,,,,,
Нет,,隐,阝,刀,彐,心,,,,,
Нет,,婚,女,氏,日,,,,,,
Да,审,婶,女,宀,申,,,,,,
Нет,,颈,又,土,页,,,,,,
Нет,,绩,纟,丰,贝,,,,,,
Да,者,绪,纟,耂,日,,,,,,
Да,𧶠,续,纟,十,乛,头,,,,,
Нет,,骑,马,大,丁,口,,,,,
Нет,,绳,纟,口,电,,,,,,
Нет,,维,纟,隹,,,,,,,
Нет,,绵,纟,白,巾,,,,,,
Да,周,绸,纟,冂,土,口,,,,,
Нет,,绿,纟,彐,氺,,,,,,
Да,今,琴,王,王,今,,,,,,
Да,班,斑,王,文,王,,,,,,
Нет,,替,夫,夫,曰,,,,,,
Нет,,款,士,示,欠,,,,,,
Нет,,堪,土,其,乚,,,,,,
Да,荅,搭,扌,艹,人,一,口,,,,
Да,荅,塔,土,艹,人,一,口,,,,
Да,戉,越,十,乛,卜,人,戉,,,,
Нет,,趁,十,乛,卜,人,人,彡,,,
Нет,,趋,十,乛,卜,人,刀,彐,,,
Нет,,超,十,乛,卜,人,刀,口,,,
Нет,,提,扌,日,乛,卜,人,,,,
Нет,,堤,土,日,乛,卜,人,,,,
Нет,,博,十,甫,寸,,,,,,
Нет,,揭,扌,日,勹,𠃊,人,,,,
Нет,,喜,士,口,丷,一,口,,,,
Нет,,插,扌,千,臼,,,,,,
Нет,,揪,扌,禾,火,,,,,,
Нет,,搜,扌,臼,丨,又,,,,,
Да,者,煮,耂,日,火,,,,,,
Нет,,援,扌,爪,一,一,丿,又,,,
Нет,,裁,十,戈,衣,,,,,,
Нет,,搁,扌,门,夂,口,,,,,
Нет,,搂,扌,米,女,,,,,,
Да,学,搅,扌,小,冖,见,,,,,
Нет,,握,扌,尸,至,,,,,,
Нет,,揉,扌,矛,木,,,,,,
Нет,,斯,其,斤,,,,,,,
Нет,,期,其,月,,,,,,,
Нет,,欺,其,欠,,,,,,,
Нет,,联,耳,丷,天,,,,,,
Нет,,散,井,月,攴,,,,,,
Нет,,惹,艹,一,丿,口,心,,,,
Нет,,葬,艹,歹,匕,廾,,,,,
Нет,,葛,艹,日,勹,𠃊,人,,,,
Нет,,董,艹,重,,,,,,,
Нет,,葡,艹,勹,甫,,,,,,
Нет,,敬,艹,勹,口,攴,,,,,
Нет,,葱,艹,匆,心,,,,,,
Да,洛,落,艹,氵,夂,口,,,,,
Нет,,朝,十,日,十,月,,,,,
Да,古,辜,十,口,辛,,,,,,
Нет,,葵,艹,癶,天,,,,,,
Нет,,棒,木,𡗗,𰀁,,,,,,
Нет,,棋,木,其,,,,,,,
Да,直,植,木,直,,,,,,,
Нет,,森,木,木,木,,,,,,
Нет,,椅,木,大,丁,口,,,,,
Нет,,椒,木,上,小,又,,,,,
Нет,,棵,木,果,,,,,,,
Да,昆,棍,木,日,匕,匕,,,,,
Нет,,棉,木,白,巾,,,,,,
Нет,,棚,木,月,月,,,,,,
Нет,,棕,木,宀,示,,,,,,
Нет,,惠,一,由,厶,心,,,,,
Нет,,惑,口,一,戈,心,,,,,
Нет,,逼,辶,一,口,田,,,,,
Нет,,厨,厂,豆,寸,,,,,,
Нет,,厦,厂,一,自,夕,,,,,
Нет,,硬,石,更,,,,,,,
Нет,,确,石,角,,,,,,,
Нет,,雁,厂,人,隹,,,,,,
Да,直,殖,歹,直,,,,,,,
Да,列,裂,歹,刀,衣,,,,,,
Нет,,雄,一,丿,厶,隹,,,,,
Нет,,暂,车,斤,日,,,,,,
Нет,,雅,牙,隹,,,,,,,
Нет,,辈,非,车,,,,,,,
Нет,,悲,非,心,,,,,,,
Нет,,紫,止,匕,糸,,,,,,
Нет,,辉,⺌,兀,冖,车,,,,,
Нет,,敞,小,冂,口,攴,,,,,
Нет,,赏,小,冂,口,贝,,,,,
Нет,,掌,⺌,冂,口,手,,,,,
Да,青,晴,日,丰,月,,,,,,
Да,者,暑,日,耂,日,,,,,,
Нет,,最,曰,耳,又,,,,,,
Нет,,量,日,一,里,,,,,,
Нет,,喷,口,十,艹,贝,,,,,
Нет,,晶,日,日,日,,,,,,
Нет,,喇,口,束,刀,,,,,,
Нет,,遇,辶,禺,,,,,,,
Нет,,喊,口,戊,一,口,,,,,
Да,京,景,日,京,,,,,,,
Нет,,践,口,卜,人,戋,,,,,
Да,失,跌,口,卜,人,失,,,,,
Да,包,跑,口,卜,人,勹,己,,,,
Да,遗,遗,辶,中,一,贝,,,,,
Нет,,蛙,虫,土,土,,,,,,
Да,朱,蛛,虫,朱,,,,,,,
Нет,,蜓,虫,廴,壬,,,,,,
Нет,,喝,口,日,勹,𠃊,人,,,,
Нет,,喂,口,田,一,𰀠,,,,,
Нет,,喘,口,山,而,,,,,,
